YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,7,0.17,0.0,0.0
8076,30,0.0,0.0,4.0
6051,23,0.0,0.0,3.0
26244,77,1.72,0.0,18.0
6055,25,0.0,0.0,3.0
34311,104,0.0,0.0,43.0
6057,13,0.0,0.0,3.0
26250,83,0.0,0.0,36.0
30289,86,1.81,2.0,193.0
2017,6,0.0,0.0,1.0
24221,75,0.0,0.0,19.0
44410,139,0.97,1.0,42.0
12108,55,1.0,1.0,18.0
18168,64,0.0,0.0,11.0
6055,29,2.0,2.0,1.0
26235,78,4.55,2.0,0.0
4040,16,0.5,0.0,9.0
4040,16,0.0,0.0,8.0
4040,16,0.0,0.0,4.0
18162,68,0.0,0.0,17.0
48444,152,12.86,14.0,122.0
4036,13,0.16,0.0,0.0
2020,9,4.75,0.0,12.0
2020,9,0.0,0.0,12.0
2019,2,0.04,0.0,0.0
2020,7,0.0,0.0,6.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,12.0
2020,7,0.0,0.0,3.0
2020,7,0.0,0.0,1.0
2020,9,0.0,0.0,6.0
4040,16,24.47,0.0,0.0
2020,7,0.0,0.0,2.0
4040,16,0.34,2.0,53.0
4040,16,0.0,0.0,4.0
4040,16,53.91,64.0,0.0
2020,9,3.0,7.0,0.0
4040,16,35.5,57.0,0.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,2.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,2.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,1.0
2020,9,0.0,0.0,1.0
2020,7,0.0,0.0,1.0
46424,149,6.35,11.0,158.0
2020,7,0.0,0.0,1.0
4040,16,0.0,0.0,3.0
2020,7,0.0,0.0,2.0
2020,7,0.0,0.0,1.0
2020,9,0.0,0.0,3.0
22199,71,0.0,0.0,13.0
48444,152,15.59,15.0,40.0
2020,9,0.0,0.0,6.0
2020,7,0.0,0.0,4.0
2020,9,0.0,0.0,96.0
2020,9,0.0,0.0,5.0
2020,9,0.0,0.0,2.0
20187,76,0.0,0.0,77.0
20174,67,4.08,0.0,16.0
2020,9,0.0,0.0,1.0
2020,9,0.0,0.0,1.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,1.0
2020,9,0.0,0.0,1.0
4040,16,0.0,0.0,6.0
2020,9,0.0,0.0,1.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,10.0
14126,52,1.98,2.0,5.0
16152,43,0.0,0.0,15.0
6056,15,0.0,0.0,3.0
26245,69,114.78,159.0,175.0
4036,3,0.0,0.0,50.0
2020,7,0.0,0.0,2.0
2020,7,0.0,0.0,5.0
2020,7,0.0,0.0,5.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,1.0
48444,152,108.88,111.0,4.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,1.0
2020,7,0.0,0.0,6.0
12111,26,0.0,0.0,5.0
8076,29,0.0,0.0,4.0
44407,142,14.32,16.0,14.0
2020,9,3.25,7.0,45.0
2020,9,7.16,0.0,0.0
2020,9,0.0,0.0,8.0
2020,9,0.0,7.0,29.0
2020,9,0.0,0.0,2.0
42387,133,18.57,10.0,0.0
2020,9,0.0,0.0,1.0
2020,9,0.0,0.0,6.0
30280,85,19.69,31.0,0.0
34319,96,19.71,31.0,0.0
32301,89,15.29,29.67,0.0
4034,14,0.0,0.0,2.0
2020,9,0.0,0.0,2.0
2020,9,0.0,0.0,1.0
2020,9,0.0,0.0,2.0
34315,104,0.0,0.0,31.0
2020,9,0.0,0.0,1.0
2020,9,0.0,0.0,2.0
2020,9,22.79,0.0,0.0
8073,17,0.0,0.0,4.0
2020,9,26.75,0.0,0.0
2020,9,20.5,0.0,0.0
2020,9,16.25,0.0,0.0
2020,9,10.33,0.0,0.0
2020,9,0.0,0.0,1.0
2020,9,0.0,0.0,35.0
2020,9,0.0,0.0,24.96
2020,9,0.0,0.0,16.0
8074,15,0.0,0.0,6.0
2020,9,0.0,0.0,2.0
2020,9,0.0,0.0,19.0
2020,9,0.34,1.0,1.0
2020,9,6.11,0.0,0.0
48444,152,23.23,23.0,34.0
24214,83,3.8499999999999996,7.67,64.0
2020,9,27.25,0.0,0.0
2020,9,0.0,0.0,41.0
24226,88,0.48,2.0,22.0
14127,54,0.0,0.0,10.0
2020,9,0.0,0.0,3.75
2020,9,0.0,0.0,11.0
6053,10,0.33,0.0,0.0
2020,9,0.0,0.0,8.0
4036,17,0.0,0.0,2.0
2020,9,0.0,0.0,8.0
46425,147,11.86,8.0,37.0
2020,9,0.0,0.0,378.0
22205,75,0.0,0.0,12.0
2020,9,0.0,0.0,8.0
32299,109,3.0500000000000003,5.0,7.0
14129,43,0.0,0.0,9.0
2020,9,0.0,0.0,1.0
2020,9,0.0,0.0,1.0
40372,123,0.0,3.0,49.0
2020,9,0.68,3.0,0.0
10090,39,0.0,0.0,8.0
2020,9,0.85,14.0,0.0
2020,9,0.0,0.0,5.0
2020,9,0.0,0.0,1.0
2020,9,0.0,0.0,2.0
2020,9,0.0,0.0,2.0
28255,92,0.0,0.0,24.0
2020,9,0.0,0.0,5.0
2020,9,0.0,0.0,10.0
22205,60,0.0,0.0,13.0
26240,86,0.0,0.0,17.0
6052,21,0.0,0.0,11.83
12104,45,0.0,0.0,16.0
8069,33,0.0,0.0,13.0
48444,152,630.45,615.0,2.0
48444,152,596.04,615.33,326.0
2017,9,0.0,0.0,1.0
28261,97,5.4,0.0,0.0
4035,13,2.0,3.0,22.0
8070,30,0.0,0.0,6.0
4036,20,0.0,0.0,5.0
48444,152,28.9,24.0,25.0
42392,129,19.48,21.0,23.0
4036,18,0.0,0.0,2.0
2017,8,0.0,0.0,2.0
48444,152,0.0,0.0,163.59
10086,34,1.87,0.0,0.0
6051,33,0.56,0.0,0.0
2018,2,0.0,0.0,2.0
8073,22,0.0,0.0,4.0
16138,57,1.85,1.0,4.0
2017,10,0.0,0.0,1.0
2019,5,0.0,0.0,1.0
4036,15,0.51,2.0,0.0
48444,152,53.01,51.0,3.0
10086,38,0.0,0.0,5.0
48444,152,37.36,28.59,2567.85
44406,144,16.080000000000002,9.0,0.0
14120,52,0.0,0.0,12.0
2017,8,0.0,0.0,1.0
2017,8,0.0,0.0,7.0
2017,6,0.34,0.0,0.0
6055,26,0.0,0.0,3.0
32300,96,0.0,0.0,48.0
18160,54,1.97,0.0,4.0
40364,132,79.67,73.0,81.0
24214,94,2.45,0.0,11.0
22194,75,4.3,2.0,15.0
48444,152,37.36,28.0,0.0
34307,110,11.37,5.0,0.0
48444,152,38.39,36.0,237.0
42391,124,5.1,7.0,0.0
20179,68,1.45,0.0,0.0
