YEAR,MONTH,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2018,1,331348,SECOLI RIPASSO DELIO VAL DOC - 750ML,WINE,0.28111111111111114,0.2222222222222222,0.1111111111111111
2017,6,44262,BUNRATTY POTCHEEN GLASS - 750ML,LIQUOR,0.14,0.0,0.0
2020,1,119229,DOM DES FONTANELLE S/BLC - 750ML,LIQUOR,0.18647887323943663,0.06929577464788732,2.7746478873239435
2019,1,148717,ROOT 1 CAB - 750ML,BEER,0.9488563137882731,0.824323594156494,3.5263127876726035
2019,1,311843,TENUTE RUBINO SUSUMANIELLO OLTREME 13 - 750ML,WINE,0.2735714285714286,0.0019047619047619048,0.0
2017,6,310012,ALMA BRAVA MER - 750ML,WINE,0.18571428571428572,0.0,0.0
2020,1,42921,BAKS ZUBROWKA BISON VODKA - 750ML,LIQUOR,2.464375,2.76,0.0625
2020,1,313119,CHOCALATO - 750ML,WINE,0.2779245283018868,0.1509433962264151,0.09433962264150944
2020,1,10271,ALLAGASH MOSELLE 6/4 16OZ CANS,BEER,2.1590229885057473,2.1408045977011496,16.27741379310345
2020,1,236876,AMERICAN BARRELS BOURBON  NV - 750ML,LIQUOR,0.37939393939393945,0.3333333333333333,0.7272727272727273
2019,1,70144,PAPAGAYO ORGANIC WHITE RUM - 750ML,LIQUOR,0.2938095238095238,0.18666666666666668,0.0
2020,1,166412,DAILYS ISLAND BREEZE - 10OZ,BEER,3.43099173553719,3.030826446280992,1.6418595041322313
2020,1,166661,FINEST CALL MANGO PUREE - 1L,NON-ALCOHOL,16.05125,16.027475961538464,2.608173076923077
2020,1,350842,ARAK LE BRUN - 750ML,BEER,0.44608208955223877,0.458955223880597,1.5705970149253732
2018,2,10857,TGI FRIDAYS LONG ISLAND ICED TEA - 1.75L,LIQUOR,0.24727272727272728,0.0,0.0
2020,1,20086,STELLA ARTOIS 4/6 NR - 11.2OZ,BEER,18.845041988003427,18.548589545844045,228.13553384747217
2018,1,232266,ARCHER ROOSE S/BLC BIB - 3L,WINE,0.0,0.0,0.875
2020,1,149691,CARLETTO SPARK PROSECCO - 750ML,WINE,2.1071647509578546,1.9704597701149424,4.215689655172414
2019,1,67032,INO DRY RED WINE - 750ML,WINE,0.2303448275862069,-0.0027586206896551726,0.0
2020,1,11458,ZONTES FOOTSTEP SCARLET LADYBIRD ROSE - 750ML,WINE,0.10039800995024875,0.09355721393034826,6.517927031509121
2020,1,96008,ASAHI DRY 12/21.4OZ NR - 21.4OZ,BEER,9.649464285714286,9.339285714285714,70.57446428571428
2020,1,236102,THE 1 PROPRIETARY RES LODI RED - 750ML,WINE,0.7918181818181819,1.8181818181818181,1.0
2020,1,10711,ATLAS BULLPEN PILSNER 4/6 CAN,BEER,2.5795220588235295,2.5900735294117645,15.085183823529412
2018,1,47226,THIRD WHEEL RED - 750ML,WINE,0.8077777777777777,0.4444444444444444,0.0
2020,1,348480,UMAI! SHOCHU  - 50ML,LIQUOR,1.6975757575757577,4.121212121212121,0.0
2019,1,233040,LAMAN TEMP - 750ML,WINE,0.04170212765957447,0.0425531914893617,3.2729787234042558
2020,1,10332,GREY GOOSE VODKA - CHERRY NOIR - 1L,LIQUOR,19.777384204275535,19.534480403800476,2.9688450118764846
2020,1,10123,DARON CALVADOS FIN - 750ML,BEER,0.9682622950819673,0.8989147540983606,2.1083879781420767
2020,1,12656,SCHLAFLY OCTOBERFEST 4/6 NR,BEER,0.03279773156899811,0.036862003780718335,3.351672967863894
2020,1,129186,NATURA CASABLANCA VYLY CHARD - 750ML,LIQUOR,7.448932633420822,7.144181977252844,4.872484689413823
2020,1,22816,MENABREA BIONDA PREM LAGER 4/6NR - 11.2OZ,BEER,0.4586428571428572,0.5326285714285713,4.6571428571428575
2020,1,10480,BROUILLY CH DES TOURS - 375ML,LIQUOR,2.109596314172883,1.9829179464677489,1.736186924089513
2017,6,313824,SHANE MA FILLE ROSE 15 - 750ML,WINE,0.0,0.0,3.0
2019,1,25100,BASAGNANI RIESLING - 750ML,WINE,0.29625,0.0,0.0
2020,1,353470,ANXO CIDRE BLANC 1/2 KEG,BEER,0.0,0.0,5.4075
2020,1,27651,DELIRIUM TREMENS 6/4 NR,BEER,0.1799465240641711,0.14951871657754012,5.031176470588235
2020,1,27756,SCHOFFERHOFER POMEGRANATE 4/6PK 11.2OZ NR,BEER,1.281153846153846,1.3205128205128205,14.943333333333332
2020,7,166717,BITTERMILK #6 OAXACAN OLD FASHIONED 8OZ,NON-ALCOHOL,3.042222222222222,1.5,0.0
2018,2,47610,BLACK ANKLE ROLLING HILLS RED BLEND - 750ML,WINE,0.08,1.0,0.0
2020,1,29191,BOLD ROCK SEASONAL WHITE CRANBERRY 4/6 NR,BEER,3.5887499999999997,3.4285714285714284,17.40375
2019,1,22863,DRIE FONTEINEN CUVEE ARMAND & GASTON 1.5L,BEER,0.0041025641025641026,0.0,1.8503846153846155
2018,1,300574,BOORDY ICON CHARD - 750ML,WINE,3.0052293577981652,2.464954128440367,1.5955963302752292
2018,1,357561,CH HAUT ROQUEFORT - 500ML,WINE,0.08,0.0,0.0
2020,1,1406,SAM ADAMS OCTOBERFEST 1/6K,BEER,24.786368128474365,24.77035824583076,118.34026559604695
2017,6,164992,WETZEL PINOT NOIR - 750ML,WINE,0.3045303867403315,0.10226519337016574,0.9829834254143646
2020,3,64757,BREWDOG ELVIS JUICE 4/6 CANS,BEER,0.0,0.0,5.111111111111111
2020,1,11619,BV CENTURY CELLARS CAB - 1.5L,WINE,1.7133184523809522,1.301235119047619,3.354032738095238
